station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
SCNT,2016-02-20 10:30,FEW,BKN,,2600.00,4000.00,
SCNT,2016-02-21 12:30,FEW,BKN,,1300.00,9000.00,
SCNT,2016-03-06 20:30,,,,,,
SCNT,2016-03-25 11:30,,,,,,
SCNT,2016-07-12 12:30,FEW,,,2600.00,,
SCNT,2016-12-13 11:30,FEW,,,4000.00,,
SCNT,2017-04-08 17:30,BKN,OVC,,3300.00,10000.00,
SCNT,2017-04-19 11:30,BKN,,,4000.00,,
SCNT,2017-05-17 09:30,SCT,,,4000.00,,
SCNT,2017-07-31 02:30,BKN,,,2600.00,,
SCNT,2017-10-21 18:30,OVC,,,3000.00,,
SCNT,2017-11-30 10:30,BKN,,,4000.00,,
SCNT,2017-12-16 17:30,BKN,,,4000.00,,
SCNT,2018-01-27 10:30,BKN,SCT,,4000.00,10000.00,
SCNT,2018-05-10 13:30,SCT,OVC,,300.00,5000.00,
SCNT,2018-07-28 11:30,SCT,BKN,,4000.00,10000.00,
SCNT,2018-08-07 14:30,FEW,BKN,,6000.00,7000.00,
SCNT,2018-09-24 14:30,BKN,BKN,,2000.00,7000.00,
SCNT,2018-10-14 01:30,FEW,SCT,,4000.00,10000.00,
SCNT,2018-12-10 10:30,BKN,BKN,,3300.00,12000.00,
SCNT,2019-02-24 03:30,BKN,,,3300.00,,
SCNT,2019-04-27 15:30,FEW,BKN,,1500.00,20000.00,
SCNT,2019-07-08 14:30,BKN,OVC,,6000.00,20000.00,
SCNT,2019-07-31 15:30,VV ,,,100.00,,
SCNT,2019-11-06 15:30,BKN,BKN,,700.00,3000.00,
SCNT,2019-11-06 21:30,BKN,,,3000.00,,
SCNT,2019-11-10 12:30,FEW,OVC,,700.00,4000.00,
SCNT,2020-01-14 19:30,BKN,OVC,,2000.00,4000.00,
SCNT,2020-08-22 20:30,BKN,OVC,,1000.00,3000.00,
SCNT,2020-10-31 21:30,FEW,SCT,,6000.00,20000.00,
SCNT,2021-03-27 17:30,BKN,SCT,,6000.00,9000.00,
SCNT,2021-06-04 13:30,BKN,,,300.00,,
SCNT,2021-08-16 12:30,NSC,,,,,
SCNT,2021-10-01 12:30,OVC,,,3000.00,,
SCNT,2021-10-02 00:30,BKN,,,3000.00,,
SCNT,2021-10-10 01:30,SCT,BKN,,2300.00,3000.00,
SCNT,2021-11-14 17:30,SCT,,,3000.00,,
SCNT,2021-11-20 03:30,OVC,,,3000.00,,
SCNT,2021-11-21 03:30,SCT,,,5000.00,,
SCNT,2021-12-02 11:30,SCT,,,6000.00,,
SCNT,2022-04-24 13:30,FEW,SCT,BKN,100.00,3000.00,10000.00
SCNT,2022-05-13 12:30,FEW,BKN,,2000.00,20000.00,
SCNT,2022-06-11 16:30,,,,,,
SCNT,2022-07-05 14:30,SCT,SCT,,700.00,20000.00,
SCNT,2022-07-06 15:30,NSC,,,,,
SCNT,2022-07-09 09:30,OVC,,,500.00,,
SCNT,2022-07-25 16:17,BKN,,,3000.00,,
SCNT,2022-07-27 17:09,FEW,BKN,,5000.00,8000.00,
SCNT,2022-07-28 12:20,SCT,OVC,,5000.00,10000.00,
SCNT,2022-07-31 22:13,BKN,BKN,,5000.00,8000.00,
SCNT,2022-08-08 12:10,NSC,,,,,
SCNT,2022-08-12 16:31,BKN,OVC,,2300.00,4000.00,
SCNT,2022-09-01 14:20,FEW,BKN,,1000.00,3300.00,
SCNT,2022-09-06 12:28,OVC,,,500.00,,
SCNT,2022-09-06 13:37,OVC,,,600.00,,
SCNT,2022-09-06 14:10,SCT,BKN,,1000.00,4000.00,
SCNT,2022-10-07 14:14,BKN,,,2500.00,,
SCNT,2022-10-28 13:30,SCT,BKN,,2000.00,6000.00,
SCNT,2022-10-31 13:18,SCT,,,5000.00,,
SCNT,2022-11-21 15:31,SCT,BKN,,5000.00,7000.00,
SCNT,2022-11-23 18:15,BKN,,,1000.00,,
SCNT,2022-11-25 18:25,BKN,OVC,,1500.00,3000.00,
SCNT,2022-11-28 13:16,BKN,,,4000.00,,
SCNT,2022-12-01 20:00,BKN,,,5000.00,,
SCNT,2022-12-15 11:25,BKN,,,5000.00,,
SCNT,2023-01-05 03:25,OVC,,,3000.00,,
SCNT,2023-01-06 14:16,,,,,,
SCNT,2023-02-03 19:05,FEW,,,4000.00,,
SCNT,2023-02-04 14:16,BKN,OVC,,3000.00,8000.00,
SCNT,2023-02-04 21:30,FEW,SCT,OVC,500.00,2000.00,3000.00
SCNT,2023-02-24 11:40,SCT,BKN,,3000.00,7000.00,
SCNT,2023-02-24 17:15,BKN,,,3000.00,,
SCNT,2023-02-28 15:23,OVC,,,3000.00,,
SCNT,2023-02-28 18:29,SCT,OVC,,2500.00,3000.00,
SCNT,2023-03-01 23:56,FEW,BKN,,2000.00,16000.00,
SCNT,2023-03-02 00:14,FEW,BKN,,2000.00,16000.00,
SCNT,2023-03-27 02:28,BKN,BKN,,4000.00,10000.00,
SCNT,2023-03-28 20:03,SCT,SCT,,1600.00,7000.00,
SCNT,2023-04-07 20:20,SCT,BKN,,3000.00,4000.00,
SCNT,2023-04-09 16:38,SCT,BKN,,500.00,3000.00,
SCNT,2023-04-10 22:39,FEW,,,5000.00,,
SCNT,2023-05-05 18:13,OVC,,,4000.00,,
SCNT,2023-05-10 14:24,FEW,OVC,,400.00,6600.00,
SCNT,2023-05-14 15:33,BKN,BKN,,3000.00,7000.00,
SCNT,2023-06-05 12:07,BKN,,,500.00,,
SCNT,2023-06-24 06:40,OVC,,,500.00,,
SCNT,2023-06-25 14:10,VV ,,,100.00,,
SCNT,2023-06-26 13:34,SCT,BKN,,500.00,3000.00,
SCNT,2023-06-28 19:11,BKN,,,100.00,,
SCNT,2023-06-29 16:20,BKN,,,500.00,,
SCNT,2023-06-29 19:34,VV ,,,200.00,,
SCNT,2023-07-01 16:05,FEW,OVC,,5000.00,10000.00,
SCNT,2023-07-01 17:30,FEW,BKN,,4500.00,10000.00,
SCNT,2023-07-14 13:24,FEW,,,100.00,,
SCNT,2023-09-23 18:00,BKN,SCT,,5000.00,10000.00,
SCNT,2023-09-23 19:00,SCT,SCT,,5000.00,10000.00,
SCNT,2023-09-23 20:00,SCT,BKN,,5000.00,10000.00,
SCNT,2023-09-24 12:00,FEW,,,5000.00,,
SCNT,2023-09-24 13:00,FEW,,,5000.00,,
SCNT,2023-09-24 14:00,SCT,,,5000.00,,
SCNT,2023-09-24 15:00,SCT,,,5000.00,,
SCNT,2023-09-24 16:00,SCT,,,5000.00,,
SCNT,2023-09-24 17:00,SCT,,,5000.00,,
SCNT,2023-09-24 18:00,SCT,,,5000.00,,
SCNT,2023-09-24 19:00,,,,,,
SCNT,2023-09-24 20:00,,,,,,
SCNT,2023-09-25 12:00,BKN,,,5000.00,,
SCNT,2023-09-25 13:00,BKN,,,5000.00,,
SCNT,2023-09-25 14:00,BKN,,,5000.00,,
SCNT,2023-09-25 15:00,BKN,BKN,,5000.00,7000.00,
SCNT,2023-09-25 16:00,SCT,BKN,,5000.00,7000.00,
SCNT,2023-09-25 17:00,SCT,,,5000.00,,
SCNT,2023-09-25 18:00,BKN,,,5000.00,,
SCNT,2023-09-25 19:00,BKN,,,5000.00,,
SCNT,2023-09-25 20:00,SCT,SCT,,5000.00,10000.00,
SCNT,2023-09-26 11:00,BKN,OVC,,5000.00,20000.00,
SCNT,2023-09-26 12:00,BKN,OVC,,5000.00,20000.00,
SCNT,2023-09-26 13:00,BKN,,,4000.00,,
SCNT,2023-09-26 14:00,BKN,OVC,,5000.00,20000.00,
SCNT,2023-09-26 15:00,BKN,OVC,,5000.00,20000.00,
SCNT,2023-09-26 17:00,FEW,BKN,OVC,3000.00,5000.00,20000.00
SCNT,2023-09-26 18:00,FEW,BKN,OVC,3000.00,5000.00,20000.00
SCNT,2023-09-26 19:00,OVC,,,4000.00,,
SCNT,2023-09-26 20:00,OVC,,,4000.00,,
SCNT,2023-09-26 21:00,OVC,,,4000.00,,
SCNT,2023-09-26 22:00,SCT,OVC,,3000.00,4000.00,
SCNT,2023-09-26 23:00,SCT,OVC,,3000.00,4000.00,
SCNT,2023-09-27 00:00,SCT,OVC,,3000.00,4000.00,
SCNT,2023-09-27 12:00,OVC,,,400.00,,
SCNT,2023-09-27 13:00,OVC,,,2000.00,,
SCNT,2023-09-27 14:00,OVC,,,2500.00,,
SCNT,2023-09-27 15:00,OVC,,,900.00,,
SCNT,2023-09-27 16:00,FEW,OVC,,900.00,2500.00,
SCNT,2023-09-27 17:00,FEW,OVC,,1000.00,3000.00,
SCNT,2023-09-27 18:00,SCT,BKN,,1500.00,3000.00,
SCNT,2023-09-27 19:00,FEW,SCT,BKN,1500.00,4000.00,20000.00
SCNT,2023-09-27 20:00,FEW,SCT,,2500.00,3000.00,
SCNT,2023-09-28 12:00,FEW,,,5000.00,,
SCNT,2023-09-28 13:00,FEW,,,5000.00,,
SCNT,2023-09-28 14:00,FEW,SCT,,5000.00,20000.00,
SCNT,2023-09-28 15:00,FEW,,,5000.00,,
SCNT,2023-09-28 16:00,SCT,SCT,,5000.00,20000.00,
SCNT,2023-09-28 17:00,FEW,SCT,,5000.00,20000.00,
SCNT,2023-09-28 18:00,SCT,SCT,,5000.00,20000.00,
SCNT,2023-09-28 20:00,SCT,SCT,,5000.00,10000.00,
SCNT,2023-09-29 12:00,FEW,SCT,,4000.00,8000.00,
SCNT,2023-09-29 13:00,FEW,SCT,,4000.00,8000.00,
SCNT,2023-09-29 14:00,FEW,SCT,,4000.00,8000.00,
SCNT,2023-09-29 15:00,FEW,SCT,BKN,5000.00,8000.00,20000.00
SCNT,2023-09-29 16:00,FEW,SCT,BKN,5000.00,8000.00,20000.00
SCNT,2023-09-29 17:00,FEW,SCT,BKN,5000.00,8000.00,20000.00
SCNT,2023-09-29 18:00,FEW,SCT,BKN,5000.00,8000.00,20000.00
SCNT,2023-09-29 19:00,FEW,SCT,BKN,5000.00,8000.00,20000.00
SCNT,2023-09-30 12:00,FEW,BKN,,5000.00,8000.00,
SCNT,2023-09-30 13:00,,,,,,
SCNT,2023-09-30 14:00,,,,,,
SCNT,2023-09-30 15:00,,,,,,
SCNT,2023-09-30 16:00,FEW,BKN,,5000.00,10000.00,
SCNT,2023-09-30 17:00,FEW,SCT,BKN,5000.00,8000.00,10000.00
SCNT,2023-09-30 18:00,BKN,SCT,OVC,5000.00,10000.00,20000.00
SCNT,2023-09-30 19:00,SCT,SCT,OVC,5000.00,10000.00,20000.00
SCNT,2023-09-30 20:00,BKN,OVC,,5000.00,20000.00,
SCNT,2023-10-01 11:00,OVC,,,900.00,,
SCNT,2023-10-01 12:00,SCT,BKN,BKN,700.00,2500.00,20000.00
SCNT,2023-10-01 13:00,SCT,BKN,,2500.00,4000.00,
SCNT,2023-10-01 15:00,FEW,SCT,,1500.00,5000.00,
SCNT,2023-10-01 16:00,SCT,BKN,BKN,700.00,3000.00,5000.00
SCNT,2023-10-01 17:00,OVC,,,500.00,,
SCNT,2023-10-01 18:00,FEW,SCT,,600.00,5000.00,
SCNT,2023-10-01 19:00,OVC,,,1000.00,,
SCNT,2023-10-01 20:00,FEW,SCT,,2500.00,5000.00,
SCNT,2023-10-02 11:00,BKN,OVC,,2500.00,4000.00,
SCNT,2023-10-02 12:00,SCT,BKN,OVC,2500.00,4000.00,20000.00
SCNT,2023-10-02 13:00,BKN,OVC,,3000.00,4000.00,
SCNT,2023-10-02 14:00,SCT,OVC,,2500.00,4000.00,
SCNT,2023-10-02 15:00,FEW,OVC,,2500.00,4000.00,
SCNT,2023-10-02 16:00,FEW,SCT,BKN,2500.00,4000.00,10000.00
SCNT,2023-10-02 17:00,BKN,,,4000.00,,
SCNT,2023-10-02 18:00,BKN,,,4000.00,,
SCNT,2023-10-02 19:00,BKN,,,4000.00,,
SCNT,2023-10-02 20:00,BKN,,,4000.00,,
SCNT,2023-10-03 11:00,BKN,,,4000.00,,
SCNT,2023-10-03 12:00,BKN,SCT,,4000.00,10000.00,
SCNT,2023-10-03 13:00,BKN,BKN,,4000.00,10000.00,
SCNT,2023-10-03 14:00,BKN,BKN,,4000.00,10000.00,
SCNT,2023-10-03 15:00,BKN,BKN,,4000.00,10000.00,
SCNT,2023-10-03 16:00,SCT,SCT,,3000.00,7000.00,
SCNT,2023-10-03 17:00,SCT,,,3000.00,,
SCNT,2023-10-03 18:00,BKN,,,5000.00,,
SCNT,2023-10-03 19:00,BKN,,,3300.00,,
SCNT,2023-10-03 20:00,SCT,,,3300.00,,
SCNT,2023-10-04 13:00,FEW,BKN,,3600.00,10000.00,
SCNT,2023-10-04 14:00,FEW,BKN,,3600.00,10000.00,
SCNT,2023-10-04 15:00,FEW,BKN,,3600.00,10000.00,
SCNT,2023-10-04 16:00,FEW,BKN,,3600.00,10000.00,
SCNT,2023-10-04 17:00,FEW,SCT,,3600.00,10000.00,
SCNT,2023-10-04 18:00,FEW,BKN,,3600.00,10000.00,
SCNT,2023-10-04 19:00,FEW,BKN,,3600.00,10000.00,
SCNT,2023-10-04 20:00,FEW,SCT,BKN,3600.00,10000.00,20000.00
SCNT,2023-10-05 11:00,SCT,BKN,,4000.00,20000.00,
SCNT,2023-10-05 12:00,SCT,BKN,,4000.00,20000.00,
SCNT,2023-10-05 13:00,SCT,SCT,,5000.00,7300.00,
SCNT,2023-10-05 14:00,BKN,,,5000.00,,
SCNT,2023-10-05 15:00,FEW,BKN,,2600.00,5000.00,
SCNT,2023-10-05 16:00,OVC,,,4000.00,,
SCNT,2023-10-05 17:00,FEW,BKN,,2600.00,4000.00,
SCNT,2023-10-05 18:00,SCT,BKN,,1600.00,10000.00,
SCNT,2023-10-05 19:00,FEW,SCT,BKN,1600.00,4000.00,20000.00
SCNT,2023-10-05 20:00,SCT,BKN,,2000.00,6600.00,
SCNT,2023-10-05 21:00,SCT,,,3300.00,,
SCNT,2023-10-05 22:00,FEW,SCT,,400.00,3300.00,
SCNT,2023-10-05 23:00,FEW,,,1600.00,,
SCNT,2023-10-06 00:00,FEW,,,1300.00,,
SCNT,2023-10-06 01:00,FEW,,,1300.00,,
SCNT,2023-10-06 11:00,FEW,SCT,,2500.00,3000.00,
SCNT,2023-10-06 12:00,FEW,BKN,,2500.00,5000.00,
SCNT,2023-10-06 13:00,FEW,SCT,,3000.00,5000.00,
SCNT,2023-10-06 14:00,SCT,,,5000.00,,
SCNT,2023-10-06 15:00,SCT,,,5000.00,,
SCNT,2023-10-06 16:00,SCT,,,5000.00,,
SCNT,2023-10-06 17:00,FEW,,,5000.00,,
SCNT,2023-10-06 18:00,FEW,,,5000.00,,
SCNT,2023-10-06 19:00,FEW,,,5000.00,,
SCNT,2023-10-07 11:00,OVC,,,1000.00,,
SCNT,2023-10-07 12:00,OVC,,,900.00,,
SCNT,2023-10-07 13:00,OVC,,,700.00,,
SCNT,2023-10-07 14:00,OVC,,,1000.00,,
SCNT,2023-10-07 15:00,OVC,,,1000.00,,
SCNT,2023-10-07 16:00,OVC,,,1200.00,,
SCNT,2023-10-07 17:00,BKN,OVC,,1000.00,2000.00,
SCNT,2023-10-07 18:00,BKN,OVC,,2500.00,3000.00,
SCNT,2023-10-07 19:00,BKN,OVC,,2500.00,3000.00,
SCNT,2023-10-07 20:00,OVC,,,3000.00,,
SCNT,2023-10-08 11:00,FEW,SCT,,2500.00,4000.00,
SCNT,2023-10-08 12:00,SCT,,,3000.00,,
SCNT,2023-10-08 13:00,FEW,BKN,,2500.00,3000.00,
SCNT,2023-10-08 14:00,SCT,,,3000.00,,
SCNT,2023-10-08 15:00,FEW,BKN,,1000.00,3000.00,
SCNT,2023-10-08 16:00,FEW,SCT,,2500.00,3000.00,
SCNT,2023-10-08 17:00,SCT,BKN,,1000.00,3000.00,
SCNT,2023-10-08 18:00,SCT,BKN,,1000.00,4000.00,
SCNT,2023-10-08 19:00,FEW,BKN,,2500.00,3000.00,
SCNT,2023-10-08 20:00,SCT,OVC,,2500.00,4000.00,
SCNT,2023-10-09 05:00,OVC,,,800.00,,
SCNT,2023-10-09 06:00,SCT,BKN,,800.00,2600.00,
SCNT,2023-10-09 07:00,OVC,,,3000.00,,
SCNT,2023-10-09 08:00,BKN,,,2600.00,,
SCNT,2023-10-09 11:00,BKN,,,3000.00,,
SCNT,2023-10-09 12:00,BKN,,,3000.00,,
SCNT,2023-10-09 13:00,BKN,,,3000.00,,
SCNT,2023-10-09 14:00,BKN,,,3000.00,,
SCNT,2023-10-09 15:00,BKN,,,3000.00,,
SCNT,2023-10-09 16:00,BKN,SCT,,3000.00,8000.00,
SCNT,2023-10-09 17:00,SCT,,,4000.00,,
SCNT,2023-10-09 18:00,BKN,,,4000.00,,
SCNT,2023-10-09 19:00,SCT,BKN,,1000.00,4000.00,
SCNT,2023-10-09 20:00,FEW,BKN,,1000.00,3000.00,
SCNT,2023-10-10 10:00,BKN,,,3000.00,,
SCNT,2023-10-10 11:00,BKN,,,4000.00,,
SCNT,2023-10-10 12:00,FEW,BKN,,3000.00,6000.00,
SCNT,2023-10-10 13:00,FEW,BKN,,3000.00,6000.00,
SCNT,2023-10-10 16:00,SCT,BKN,,3000.00,5000.00,
SCNT,2023-10-10 17:00,SCT,BKN,,3000.00,5000.00,
SCNT,2023-10-10 18:00,SCT,BKN,,3000.00,5000.00,
SCNT,2023-10-10 19:00,SCT,BKN,,3000.00,5000.00,
SCNT,2023-10-10 20:00,SCT,BKN,,3000.00,5000.00,
SCNT,2023-10-11 12:00,FEW,BKN,,4000.00,10000.00,
SCNT,2023-10-11 13:00,FEW,BKN,,4000.00,10000.00,
SCNT,2023-10-11 14:00,FEW,SCT,BKN,4000.00,10000.00,20000.00
SCNT,2023-10-11 15:00,BKN,SCT,,4000.00,10000.00,
SCNT,2023-10-11 16:00,BKN,SCT,,4000.00,10000.00,
SCNT,2023-10-11 17:00,SCT,SCT,,4000.00,20000.00,
SCNT,2023-10-11 18:00,SCT,SCT,,4000.00,20000.00,
SCNT,2023-10-11 19:00,SCT,SCT,,4000.00,20000.00,
SCNT,2023-10-11 20:00,BKN,,,4000.00,,
SCNT,2023-10-12 11:00,FEW,BKN,,4000.00,10000.00,
SCNT,2023-10-12 12:00,FEW,SCT,BKN,4000.00,6000.00,10000.00
SCNT,2023-10-12 13:00,FEW,BKN,,4000.00,6000.00,
SCNT,2023-10-12 14:00,FEW,BKN,,4000.00,6000.00,
SCNT,2023-10-12 16:00,FEW,SCT,,4000.00,6000.00,
SCNT,2023-10-12 17:00,FEW,SCT,,4000.00,6000.00,
SCNT,2023-10-12 18:00,FEW,,,4000.00,,
SCNT,2023-10-12 19:00,FEW,,,4000.00,,
SCNT,2023-10-12 20:00,FEW,,,4000.00,,
SCNT,2023-10-12 21:00,FEW,SCT,,4000.00,7300.00,
SCNT,2023-10-13 11:00,SCT,SCT,,5000.00,10000.00,
SCNT,2023-10-13 12:00,SCT,SCT,BKN,5000.00,10000.00,20000.00
SCNT,2023-10-13 13:00,FEW,SCT,BKN,5000.00,10000.00,20000.00
SCNT,2023-10-13 14:00,FEW,SCT,BKN,5000.00,10000.00,20000.00
SCNT,2023-10-13 15:00,FEW,SCT,,5000.00,15000.00,
SCNT,2023-10-13 16:00,FEW,SCT,,5000.00,15000.00,
SCNT,2023-10-13 18:00,FEW,SCT,,5000.00,15000.00,
SCNT,2023-10-13 19:00,FEW,,,5000.00,,
SCNT,2023-10-14 11:00,FEW,,,5000.00,,
SCNT,2023-10-14 12:00,FEW,,,5000.00,,
SCNT,2023-10-14 13:00,FEW,,,5000.00,,
SCNT,2023-10-14 14:00,FEW,,,5000.00,,
SCNT,2023-10-14 15:00,FEW,,,5000.00,,
SCNT,2023-10-14 16:00,FEW,,,5000.00,,
SCNT,2023-10-14 17:00,FEW,,,5000.00,,
SCNT,2023-10-14 18:00,FEW,,,5000.00,,
SCNT,2023-10-14 19:00,FEW,SCT,,5000.00,20000.00,
SCNT,2023-10-14 20:00,FEW,SCT,,5000.00,20000.00,
SCNT,2023-10-15 11:00,SCT,,,5000.00,,
SCNT,2023-10-15 12:00,SCT,,,5000.00,,
SCNT,2023-10-15 13:00,SCT,,,5000.00,,
SCNT,2023-10-15 14:00,FEW,,,5000.00,,
SCNT,2023-10-15 15:00,FEW,,,5000.00,,
SCNT,2023-10-15 16:00,FEW,,,5000.00,,
SCNT,2023-10-15 17:00,FEW,,,5000.00,,
SCNT,2023-10-15 18:00,FEW,SCT,,5000.00,10000.00,
SCNT,2023-10-15 19:00,SCT,,,5000.00,,
SCNT,2023-10-15 20:00,SCT,,,5000.00,,
SCNT,2023-10-16 11:00,FEW,SCT,,3000.00,20000.00,
SCNT,2023-10-16 12:00,FEW,SCT,,3000.00,20000.00,
SCNT,2023-10-16 13:00,FEW,SCT,,3000.00,20000.00,
SCNT,2023-10-16 14:00,FEW,,,3000.00,,
SCNT,2023-10-16 15:00,SCT,SCT,,4000.00,20000.00,
SCNT,2023-10-16 16:00,SCT,BKN,,4000.00,20000.00,
SCNT,2023-10-16 17:00,SCT,SCT,,4000.00,20000.00,
SCNT,2023-10-16 18:00,SCT,SCT,,4000.00,20000.00,
SCNT,2023-10-16 19:00,SCT,SCT,,4000.00,20000.00,
SCNT,2023-10-16 20:00,SCT,SCT,,4000.00,20000.00,
SCNT,2023-10-16 21:00,SCT,SCT,,4000.00,20000.00,
SCNT,2023-10-16 22:00,SCT,,,4000.00,,
SCNT,2023-10-17 11:00,FEW,,,4000.00,,
SCNT,2023-10-17 12:00,FEW,,,5000.00,,
SCNT,2023-10-17 13:00,FEW,SCT,,4000.00,20000.00,
SCNT,2023-10-17 14:00,FEW,SCT,,4000.00,20000.00,
SCNT,2023-10-17 15:00,FEW,SCT,BKN,4000.00,10000.00,20000.00
SCNT,2023-10-17 16:00,FEW,BKN,OVC,4000.00,10000.00,20000.00
SCNT,2023-10-17 17:00,SCT,BKN,OVC,4000.00,10000.00,20000.00
SCNT,2023-10-17 18:00,SCT,BKN,OVC,5000.00,10000.00,20000.00
SCNT,2023-10-17 19:00,SCT,BKN,,5000.00,20000.00,
SCNT,2023-10-17 20:00,SCT,BKN,,5000.00,20000.00,
SCNT,2023-10-18 11:00,SCT,SCT,BKN,5000.00,10000.00,20000.00
SCNT,2023-10-18 12:00,SCT,SCT,BKN,5000.00,10000.00,20000.00
SCNT,2023-10-18 13:00,SCT,,,5000.00,,
SCNT,2023-10-18 14:00,SCT,,,5000.00,,
SCNT,2023-10-18 15:00,BKN,,,5000.00,,
SCNT,2023-10-18 16:00,BKN,,,5000.00,,
SCNT,2023-10-18 17:00,BKN,,,5000.00,,
SCNT,2023-10-18 18:00,BKN,OVC,,5000.00,20000.00,
SCNT,2023-10-18 19:00,BKN,OVC,,5000.00,10000.00,
SCNT,2023-10-18 20:00,BKN,,,5000.00,,
SCNT,2023-10-19 12:00,FEW,,,5000.00,,
SCNT,2023-10-19 13:00,FEW,,,5000.00,,
SCNT,2023-10-19 14:00,FEW,,,5000.00,,
SCNT,2023-10-19 15:00,FEW,,,5000.00,,
SCNT,2023-10-19 16:00,FEW,,,5000.00,,
SCNT,2023-10-19 17:00,FEW,SCT,,5000.00,20000.00,
SCNT,2023-10-19 18:00,FEW,SCT,,5000.00,20000.00,
SCNT,2023-10-19 19:00,FEW,BKN,,5000.00,20000.00,
SCNT,2023-10-19 20:00,FEW,BKN,,5000.00,20000.00,
SCNT,2023-10-19 21:00,SCT,SCT,,5000.00,20000.00,
SCNT,2023-10-20 11:00,FEW,,,5000.00,,
SCNT,2023-10-20 12:00,FEW,,,5000.00,,
SCNT,2023-10-20 13:00,SCT,,,5000.00,,
SCNT,2023-10-20 15:00,FEW,SCT,,5000.00,20000.00,
SCNT,2023-10-20 16:00,FEW,SCT,,5000.00,15000.00,
SCNT,2023-10-20 17:00,FEW,SCT,BKN,5000.00,10000.00,15000.00
SCNT,2023-10-20 18:00,SCT,BKN,,5000.00,10000.00,
SCNT,2023-10-20 19:00,SCT,BKN,,5000.00,20000.00,
SCNT,2023-10-21 11:00,SCT,,,5000.00,,
SCNT,2023-10-21 12:00,SCT,,,5000.00,,
SCNT,2023-10-21 13:00,FEW,,,5000.00,,
SCNT,2023-10-21 14:00,FEW,,,5000.00,,
SCNT,2023-10-21 15:00,FEW,,,5000.00,,
SCNT,2023-10-21 16:00,FEW,,,5000.00,,
SCNT,2023-10-21 17:00,SCT,,,5000.00,,
SCNT,2023-10-21 18:00,FEW,,,5000.00,,
SCNT,2023-10-21 19:00,FEW,,,5000.00,,
SCNT,2023-10-21 20:00,FEW,,,5000.00,,
SCNT,2023-10-22 11:00,BKN,,,5000.00,,
SCNT,2023-10-22 12:00,BKN,,,5000.00,,
SCNT,2023-10-22 13:00,BKN,,,5000.00,,
SCNT,2023-10-22 14:00,BKN,,,5000.00,,
SCNT,2023-10-22 15:00,BKN,,,5000.00,,
SCNT,2023-10-22 16:00,BKN,,,5000.00,,
SCNT,2023-10-22 17:00,BKN,,,5000.00,,
SCNT,2023-10-22 18:00,BKN,,,5000.00,,
SCNT,2023-10-22 19:00,SCT,,,5000.00,,
SCNT,2023-10-22 20:00,SCT,,,5000.00,,
SCNT,2023-10-23 03:00,FEW,,,4000.00,,
SCNT,2023-10-23 04:00,FEW,,,4000.00,,
SCNT,2023-10-23 05:00,FEW,,,4000.00,,
SCNT,2023-10-23 12:00,,,,,,
SCNT,2023-10-23 13:00,,,,,,
SCNT,2023-10-23 14:00,,,,,,
SCNT,2023-10-23 15:00,,,,,,
SCNT,2023-10-23 17:00,,,,,,
SCNT,2023-10-23 18:00,,,,,,
SCNT,2023-10-23 19:00,,,,,,
SCNT,2023-10-23 20:00,,,,,,
SCNT,2023-10-24 11:00,FEW,BKN,BKN,5000.00,10000.00,20000.00
SCNT,2023-10-24 12:00,FEW,BKN,BKN,5000.00,10000.00,20000.00
SCNT,2023-10-24 13:00,,,,,,
SCNT,2023-10-24 14:00,,,,,,
SCNT,2023-10-24 15:00,BKN,,,5000.00,,
SCNT,2023-10-24 17:00,BKN,,,5000.00,,
SCNT,2023-10-24 18:00,BKN,,,5000.00,,
SCNT,2023-10-24 19:00,BKN,,,5000.00,,
SCNT,2023-10-24 20:00,SCT,SCT,BKN,5000.00,10000.00,20000.00
SCNT,2023-10-25 11:00,BKN,SCT,,5000.00,20000.00,
SCNT,2023-10-25 12:00,BKN,SCT,,4000.00,20000.00,
SCNT,2023-10-25 13:00,BKN,SCT,,4000.00,20000.00,
SCNT,2023-10-25 14:00,BKN,SCT,,4000.00,20000.00,
SCNT,2023-10-25 15:00,OVC,,,4000.00,,
SCNT,2023-10-25 16:00,OVC,,,4000.00,,
SCNT,2023-10-25 17:00,OVC,,,4000.00,,
SCNT,2023-10-25 18:00,OVC,,,4000.00,,
SCNT,2023-10-25 19:00,BKN,OVC,,3000.00,4000.00,
SCNT,2023-10-25 20:00,SCT,OVC,,2300.00,4000.00,
SCNT,2023-10-26 11:00,BKN,,,1000.00,,
SCNT,2023-10-26 12:00,FEW,SCT,,2000.00,3000.00,
SCNT,2023-10-26 13:00,SCT,,,3000.00,,
SCNT,2023-10-26 14:00,SCT,,,4000.00,,
SCNT,2023-10-26 15:00,SCT,,,4000.00,,
SCNT,2023-10-26 16:00,FEW,SCT,,5000.00,20000.00,
SCNT,2023-10-26 17:00,SCT,,,4000.00,,
SCNT,2023-10-26 18:00,SCT,,,4000.00,,
SCNT,2023-10-26 19:00,BKN,,,4000.00,,
SCNT,2023-10-26 20:00,SCT,,,4000.00,,
SCNT,2023-10-26 21:00,FEW,OVC,,5000.00,20000.00,
SCNT,2023-10-26 22:00,FEW,SCT,OVC,5000.00,10000.00,20000.00
SCNT,2023-10-27 11:00,BKN,OVC,,2000.00,3000.00,
SCNT,2023-10-27 12:00,BKN,OVC,,2000.00,3000.00,
